table_name|columns|col_count
tbl_check_patrol_task|id:text,strategy_id:text,template_id:text,name:text,description:text,condition_params:text,check_item:text,status:text,message:text,archive_count:integer,package_count:integer,success_count:integer,fail_count:integer,create_time:timestamp without time zone,update_time:timestamp without time zone,start_time:timestamp without time zone,finished_time:timestamp without time zone,medium_task_id:bigint,del_status:smallint|19
tbl_file|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_1|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_10000|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_10002|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_1_a|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_1_empty|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_1_error|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_1_repeat|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_2|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
